ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
1	$1,001	Singapore, SIN	Hartford, BDL	Closed	06-Jan-12	20-Jan-12	Round-Trip	Finder's Fee $29	4 Experts	Yihui
2	$767	Bangkok, BKK	Toronto, YYZ	Closed	20-Dec-11	(one-way)	One-Way	Finder's Fee $19	3 Experts	Lily
3	$455	Southern Germany	Longyearbyen, LYR	Closed	11-May-12	14-May-12	Round-Trip	Finder's Fee $19	2 Experts	Cath21
4	$521	Anywhere in Europe	Sydney, SYD	Closed	03-Dec-11	(one-way)	One-Way	Finder's Fee $39	5 Experts	Paul
5	$644	Portland, PDX	Mexico City, MEX	Closed	22-Dec-11	03-Jan-12	Round-Trip	Finder's Fee $19	3 Experts	Mpen
6	$2,492	Canberra, CBR	Cairo, CAI	Closed	23-Dec-11	21-Jan-12	Round-Trip	Finder's Fee $39	3 Experts	Mariam
8	$1,169	Sydney, SYD	Calgary, YYC	Closed	21-Jan-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Freqflyer
9	$927	London, YXU	Dublin, DUB	Closed	10-Jan-12	14-Jan-12	Round-Trip	Finder's Fee $19	3 Experts	Janis
10	$822	Inverness, INV	Houston, IAH	Closed	21-Jan-12	31-Mar-12	Round-Trip	Finder's Fee $19	3 Experts	Freqflyer
11	$601	Managua, MGA	New York, JFK	Closed	19-Dec-11	28-Dec-11	Round-Trip	Finder's Fee $29	3 Experts	Freqflyer
13	$6,804	Canberra, CBR	San Francisco, SFO	Closed	14-Dec-11	23-Dec-11	Round-Trip	Finder's Fee $19	2 Experts	Janis
15	$1,770	Sydney, SYD	San Francisco, SFO	Closed	15-Dec-11	30-Nov-12	Round-Trip	Finder's Fee $39	2 Experts	Moocar
16	$1,164	Sydney, SYD	San Francisco, SFO	Closed	31-Jan-12	04-Mar-12	Round-Trip	Finder's Fee $29	2 Experts	Geoffmcqueen
17	$2,179	Sydney, SYD	Madrid, MAD	Closed	26-Dec-11	14-Jan-12	Round-Trip	Finder's Fee $39	3 Experts	Djinoz
18	$349	Buffalo, BUF	San Diego, SAN	Closed	10-Apr-12	(one-way)	One-Way	Finder's Fee $39	3 Experts	Bossdj
19	$522	Chicago, ORD	Grand Junction, GJT	Closed	25-Dec-11	31-Dec-11	Round-Trip	Finder's Fee $29	2 Experts	ASIA74
20	$827	Kearney, EAR	Chiang Mai, CNX	Closed	07-Apr-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	FullCourseTravel
21	$2,222	Perth, PER	Weno Island, TKK	Closed	20-Jan-12	29-Jan-12	Round-Trip	Finder's Fee $29	2 Experts	Tachyon
22	$1,079	Edinburgh, EDI	Ulan Bator, ULN	Closed	10-May-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	1000MileJourneys
23	$1,563	South Bend, SBN	Paro, PBH	Closed	21-Jan-12	27-Feb-12	Round-Trip	Finder's Fee $29	3 Experts	Flyboy
24	$684	Berlin, TXL	San Francisco, SFO	Closed	15-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Mfjuette
25	$703	Seattle, SEA	Santiago, SCL	Closed	11-Jan-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Volandovengo
26	$1,041	Burlington, BTV	Rome, FCO	Closed	20-May-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Gray
27	$540	Rome, FCO	Nairobi, NBO	Closed	30-Apr-12	(one-way)	One-Way	Finder's Fee $19	2 Experts	Theplanetd
28	$636	Toronto, YYZ	Bogota, BOG	Closed	05-Apr-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Kolsson
29	$1,297	Toronto, YYZ	Cape Town, CPT	Closed	07-Jan-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	KatyR
30	$694	Perth, PER	Beijing, NAY	Closed	06-Apr-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Ehowson
31	$921	Perth, PER	Christchurch, CHC	Closed	06-Jan-12	(one-way)	One-Way	Finder's Fee $29	2 Experts	Ehowson
32	$1,621	Sydney, SYD	Santiago, SCL	Closed	15-Aug-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Offroad
34	$559	Lima, LIM	Las Vegas, LAS	Closed	01-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Fly
35	$156	Newark, EWR	Mérida, MID	Closed	12-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Umarket
36	$1,214	Berlin, TXL	Sydney, SYD	Closed	05-Feb-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Travelsofadam
37	$477	Sydney, SYD	Denpasar, DPS	Closed	26-Feb-12	03-Mar-12	Round-Trip	Finder's Fee $29	3 Experts	Jindou
38	$325	Houston, IAH	Montego Bay, MBJ	Closed	14-Feb-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Miguel
39	$576	Bangkok, BKK	Los Angeles, LAX	Closed	03-Apr-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Camorose
40	$780	London, LGW	Sydney, SYD	Closed	30-Mar-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Mburton1982
41	$627	New York, JFK	London, LHR	Closed	12-Feb-12	19-Feb-12	Round-Trip	Finder's Fee $19	2 Experts	Couchsurfingcook
42	$684	London, LHR	New Delhi, DEL	Closed	06-Apr-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Abhijit.gupta
43	$3,271	Sydney, SYD	New Delhi, DEL	Closed	26-May-12	23-Jun-12	Round-Trip	Finder's Fee $19	4 Experts	Bigyahu
44	$1,418	Sydney, SYD	San Francisco, SFO	Closed	01-Sep-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Madeleine
47	$729	Taipei, TPE	San Francisco, SFO	Closed	31-Jan-12	(one-way)	One-Way	Finder's Fee $19	4 Experts	Xpatmatt
48	$93	Berlin, TXL	Rome, FCO	Closed	19-Jan-12	(one-way)	One-Way	Finder's Fee $29	4 Experts	Travelsofadam
50	$177	Berlin, TXL	Girona, GRO	Closed	17-Feb-12	21-Feb-12	Round-Trip	Finder's Fee $29	2 Experts	Travelsofadam
51	$358	San Francisco, SFO	Cancún, CUN	Closed	21-Feb-12	(one-way)	One-Way	Finder's Fee $19	3 Experts	Spizz0213
58	$1,297	Melbourne, MEL	New York, NYC	Closed	01-Feb-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Zwoggel
